id,counterparty_id,total,shipping,issued_at,status,source,simulated,meta
9808a7f5f5446817c3ebf7a804111d53,5c96a1394a3f018245c5eac45e612efb,3268,778,2017-11-01T00:12:34+00:00,open,olist,False,"{""seller_ids"": [""7040e82f899a04d1b434b795a43b4617""], ""seller_locations"": [{""seller_id"": ""7040e82f899a04d1b434b795a43b4617"", ""city"": ""sao paulo"", ""state"": ""SP""}], ""order_status"": ""delivered"", ""customer_state"": ""SP"", ""item_prices"": [2490]}"
c1055c3c83d15a7d43c7b6e3f283ae53,b919a9e7991eda8bd286ed35446ee463,19427,1437,2017-11-01T00:24:57+00:00,open,olist,False,"{""seller_ids"": [""729f06993dac8e860d4f02d7088ca48a""], ""seller_locations"": [{""seller_id"": ""729f06993dac8e860d4f02d7088ca48a"", ""city"": ""limeira"", ""state"": ""SP""}], ""order_status"": ""delivered"", ""customer_state"": ""SP"", ""item_prices"": [17990]}"
ed130013de4053d7678825d4d8e7deb1,0d5bb565f5c4f342681cc1bbaf817f5d,4576,927,2017-11-01T00:43:33+00:00,open,olist,False,"{""seller_ids"": [""9b013e03b2ab786505a1d3b5c0756754""], ""seller_locations"": [{""seller_id"": ""9b013e03b2ab786505a1d3b5c0756754"", ""city"": ""vicente de carvalho"", ""state"": ""SP""}], ""order_status"": ""delivered"", ""customer_state"": ""SP"", ""item_prices"": [3649]}"
08b450b388221bfe5472ed23887a7564,25e840a7c51ad06c616051ef05610c86,16741,2151,2017-11-01T01:48:36+00:00,open,olist,False,"{""seller_ids"": [""df56d7b40d437f88407c5f78b63bc328""], ""seller_locations"": [{""seller_id"": ""df56d7b40d437f88407c5f78b63bc328"", ""city"": ""cascavel"", ""state"": ""PR""}], ""order_status"": ""delivered"", ""customer_state"": ""SC"", ""item_prices"": [14590]}"
af29f3d2878958723720a759676814e7,738ffcf1017b584e9d2684b36e07469c,24792,9802,2017-11-01T01:52:21+00:00,open,olist,False,"{""seller_ids"": [""5b581417df4480f632484ba681e53944""], ""seller_locations"": [{""seller_id"": ""5b581417df4480f632484ba681e53944"", ""city"": ""florianopolis"", ""state"": ""SC""}], ""order_status"": ""delivered"", ""customer_state"": ""GO"", ""item_prices"": [14990]}"
8444b7e4c41755b890c97056b19e4713,af721b7063b42fe531599b5fe3f75b59,4000,1510,2017-11-01T02:38:05+00:00,open,olist,False,"{""seller_ids"": [""0ea22c1cfbdc755f86b9b54b39c16043""], ""seller_locations"": [{""seller_id"": ""0ea22c1cfbdc755f86b9b54b39c16043"", ""city"": ""sete lagoas"", ""state"": ""MG""}], ""order_status"": ""delivered"", ""customer_state"": ""SP"", ""item_prices"": [2490]}"
029f37989dcd7c9b928028086d68034b,c8f4f0e903ec33304d2c7a5301a94c7e,8615,1625,2017-11-01T08:00:08+00:00,open,olist,False,"{""seller_ids"": [""d2374cbcbb3ca4ab1086534108cc3ab7""], ""seller_locations"": [{""seller_id"": ""d2374cbcbb3ca4ab1086534108cc3ab7"", ""city"": ""ibitinga"", ""state"": ""SP""}], ""order_status"": ""delivered"", ""customer_state"": ""RJ"", ""item_prices"": [6990]}"
71a49be8a212eb4987b67078140a1434,3fc38cc525568f74580977683ec6d4ad,7656,1766,2017-11-01T08:14:33+00:00,open,olist,False,"{""seller_ids"": [""0d85bbda9889ce1f7e63778d24f346eb""], ""seller_locations"": [{""seller_id"": ""0d85bbda9889ce1f7e63778d24f346eb"", ""city"": ""uberlandia"", ""state"": ""MG""}], ""order_status"": ""delivered"", ""customer_state"": ""RJ"", ""item_prices"": [5890]}"
67f4aab5a932827f4b8c6ad59033701d,1e77ca4b55d1249c3c4f45b4e41b7767,10778,1788,2017-11-01T08:34:56+00:00,open,olist,False,"{""seller_ids"": [""4a3ca9315b744ce9f8e9374361493884""], ""seller_locations"": [{""seller_id"": ""4a3ca9315b744ce9f8e9374361493884"", ""city"": ""ibitinga"", ""state"": ""SP""}], ""order_status"": ""delivered"", ""customer_state"": ""RJ"", ""item_prices"": [8990]}"
88981e5b92eb0fc6291a66ce7b892029,30a81e307f19e822e7199139fe52b1b0,3200,1510,2017-11-01T08:58:39+00:00,open,olist,False,"{""seller_ids"": [""7d76b645482be4a332374e8223836592""], ""seller_locations"": [{""seller_id"": ""7d76b645482be4a332374e8223836592"", ""city"": ""sao paulo"", ""state"": ""SP""}], ""order_status"": ""delivered"", ""customer_state"": ""MG"", ""item_prices"": [1690]}"
