id,counterparty_id,amount,received_at,reference,original_reference,memo,simulated,duplicate_of,meta
8e99a2cfed539d7ef02eabb5551d98d2-p1,c9a979c8f93f719d42714fd0649b0bf2,12309,2017-12-01T10:31:06+00:00,8e99a2cfed539d7ef02eabb5551d98d2,,,False,,"{""payment_type"": ""credit_card"", ""payment_sequential"": 1, ""payment_installments"": 2, ""customer_state"": ""BA"", ""seller_locations"": [{""seller_id"": ""5c243662ce92d84573bfaff24c3e3700"", ""city"": ""sao paulo"", ""state"": ""SP""}]}"
e7df3fcd195fafd25a46f580fc96c9f3-p1,90f718695747b51939085c20ef742241,3009,2017-12-01T10:31:12+00:00,e7df3fcd195fafd25a46f580fc96c9f3,,,False,,"{""payment_type"": ""credit_card"", ""payment_sequential"": 1, ""payment_installments"": 3, ""customer_state"": ""PR"", ""seller_locations"": [{""seller_id"": ""582d4f8675b945722eda7c0cb61ba4c7"", ""city"": ""bertioga"", ""state"": ""SP""}]}"
33f45d9ef97405c50d2f7c3072bb063e-p1,798df450279c57bc9f7a612ded13695e,6300,2017-12-01T10:31:10+00:00,33f45d9ef97405c50d2f7c3072bb063e,,,False,,"{""payment_type"": ""credit_card"", ""payment_sequential"": 1, ""payment_installments"": 3, ""customer_state"": ""MG"", ""seller_locations"": [{""seller_id"": ""d3f39f05462b79a4562d35893a28f159"", ""city"": ""mococa"", ""state"": ""SP""}]}"
77e63cacbf44d28c73e6ad56e430f477-p1,1f9c999a258e902ad91126ccfce5242f,7886,2017-12-01T10:31:08+00:00,77e63cacbf44d28c73e6ad56e430f477,,,False,,"{""payment_type"": ""credit_card"", ""payment_sequential"": 1, ""payment_installments"": 1, ""customer_state"": ""ES"", ""seller_locations"": [{""seller_id"": ""b88e7c57cb2d8b973b7dd4a2bfa14b36"", ""city"": ""curitiba"", ""state"": ""PR""}]}"
7f2765cc6719de94716ce2c081b27f02-p1,0b71e6282e1f0bb4b4b46d4fd012c100,19500,2017-12-01T10:31:08+00:00,7f2765cc6719de94716ce2c081b27f02,,,False,,"{""payment_type"": ""credit_card"", ""payment_sequential"": 1, ""payment_installments"": 5, ""customer_state"": ""SP"", ""seller_locations"": [{""seller_id"": ""1f9ab4708f3056ede07124aad39a2554"", ""city"": ""tupa"", ""state"": ""SP""}]}"
bb3463b1de5e29d8d574a1e422777763-p1,b45fea9f2c0bb83348c7fc3d17bf7639,30052,2017-12-01T10:31:06+00:00,bb3463b1de5e29d8d574a1e422777763,,,True,,"{""payment_type"": ""credit_card"", ""payment_sequential"": 1, ""payment_installments"": 5, ""customer_state"": ""RJ"", ""seller_locations"": [{""seller_id"": ""46dc3b2cc0980fb8ec44634e21d2718e"", ""city"": ""rio de janeiro"", ""state"": ""RJ""}], ""fault_id"": ""D"", ""shortfall_centavos"": 1058}"
0f0add4f85838c9195ce0ce66cceff8a-p1,24e998dbc3458fe7b77b370e6d10ba57,142556,2017-12-01T10:31:10+00:00,0f0add4f85838c9195ce0ce66cceff8a,,,False,,"{""payment_type"": ""credit_card"", ""payment_sequential"": 1, ""payment_installments"": 8, ""customer_state"": ""SP"", ""seller_locations"": [{""seller_id"": ""2bf6a2c1e71bbd29a4ad64e6d3c3629f"", ""city"": ""nova friburgo"", ""state"": ""RJ""}]}"
83f4ef880ab532703def37dd9c0e7348-p1,64318e7cf2812fe20d69128528d52f5b,7214,2017-12-02T02:51:13+00:00,83f4ef880ab532703def37dd9c0e7348,,,False,,"{""payment_type"": ""boleto"", ""payment_sequential"": 1, ""payment_installments"": 1, ""customer_state"": ""PR"", ""seller_locations"": [{""seller_id"": ""cc419e0650a3c5ba77189a1882b7556a"", ""city"": ""santo andre"", ""state"": ""SP""}]}"
1e569d6eaaa4dee08f4b054b65f97134-p1,1623bb8272e54fa0a9eb93aa4895adbd,9834,2017-12-01T10:30:54+00:00,1e569d6eaaa4dee08f4b054b65f97134,,,False,,"{""payment_type"": ""credit_card"", ""payment_sequential"": 1, ""payment_installments"": 1, ""customer_state"": ""SP"", ""seller_locations"": [{""seller_id"": ""f41ce2e25237f9092cd8e6e7516c7a2f"", ""city"": ""guarulhos"", ""state"": ""SP""}]}"
5fab005ced5596f6f711ea0b99d77100-p1,cb1773ccb80012b3cbe87a1eb8c17428,5259,2017-12-01T10:31:06+00:00,5fab005ced5596f6f711ea0b99d77100,,,False,,"{""payment_type"": ""credit_card"", ""payment_sequential"": 1, ""payment_installments"": 5, ""customer_state"": ""SP"", ""seller_locations"": [{""seller_id"": ""76d5af76d0271110f9af36c92573f765"", ""city"": ""sao paulo"", ""state"": ""SP""}]}"
8f72b04d200c6c098df28f20abe1d4ce-p1,b10199c01d6933cb94c126e0ade1b158,7988,2017-12-02T02:37:07+00:00,8f72b04d200c6c098df28f20abe1d4ce,,,False,,"{""payment_type"": ""boleto"", ""payment_sequential"": 1, ""payment_installments"": 1, ""customer_state"": ""SP"", ""seller_locations"": [{""seller_id"": ""dee656f0f566ed1aa85bd137c943f08f"", ""city"": ""cruzeiro"", ""state"": ""SP""}]}"
e22f8395265cb423def2d5c028f0f34b-p1,b703d83e085a6a8b339dc548f4878ca8,10702,2017-12-01T01:42:22+00:00,e22f8395265cb423def2d5c028f0f34b,,,True,,"{""payment_type"": ""boleto"", ""payment_sequential"": 1, ""payment_installments"": 1, ""customer_state"": ""RJ"", ""seller_locations"": [], ""simulated_date"": true}"
