id,counterparty_id,total,shipping,issued_at,status,source,simulated,meta
8e99a2cfed539d7ef02eabb5551d98d2,c9a979c8f93f719d42714fd0649b0bf2,12309,1619,2017-12-01T00:01:14+00:00,open,olist,False,"{""seller_ids"": [""5c243662ce92d84573bfaff24c3e3700""], ""order_status"": ""delivered"", ""customer_state"": ""BA"", ""item_prices"": [10690]}"
e7df3fcd195fafd25a46f580fc96c9f3,90f718695747b51939085c20ef742241,3009,1510,2017-12-01T00:05:35+00:00,open,olist,False,"{""seller_ids"": [""582d4f8675b945722eda7c0cb61ba4c7""], ""order_status"": ""delivered"", ""customer_state"": ""PR"", ""item_prices"": [1499]}"
33f45d9ef97405c50d2f7c3072bb063e,798df450279c57bc9f7a612ded13695e,6300,1510,2017-12-01T00:05:39+00:00,open,olist,False,"{""seller_ids"": [""d3f39f05462b79a4562d35893a28f159""], ""order_status"": ""delivered"", ""customer_state"": ""MG"", ""item_prices"": [4790]}"
77e63cacbf44d28c73e6ad56e430f477,1f9c999a258e902ad91126ccfce5242f,7886,1896,2017-12-01T00:13:14+00:00,open,olist,False,"{""seller_ids"": [""b88e7c57cb2d8b973b7dd4a2bfa14b36""], ""order_status"": ""delivered"", ""customer_state"": ""ES"", ""item_prices"": [5990]}"
7f2765cc6719de94716ce2c081b27f02,0b71e6282e1f0bb4b4b46d4fd012c100,19500,2010,2017-12-01T00:17:43+00:00,open,olist,False,"{""seller_ids"": [""1f9ab4708f3056ede07124aad39a2554""], ""order_status"": ""delivered"", ""customer_state"": ""SP"", ""item_prices"": [17490]}"
bb3463b1de5e29d8d574a1e422777763,b45fea9f2c0bb83348c7fc3d17bf7639,31110,1111,2017-12-01T01:39:25+00:00,open,olist,False,"{""seller_ids"": [""46dc3b2cc0980fb8ec44634e21d2718e""], ""order_status"": ""delivered"", ""customer_state"": ""RJ"", ""item_prices"": [29999]}"
0f0add4f85838c9195ce0ce66cceff8a,24e998dbc3458fe7b77b370e6d10ba57,142556,2556,2017-12-01T01:39:26+00:00,open,olist,False,"{""seller_ids"": [""2bf6a2c1e71bbd29a4ad64e6d3c3629f""], ""order_status"": ""delivered"", ""customer_state"": ""SP"", ""item_prices"": [140000]}"
83f4ef880ab532703def37dd9c0e7348,64318e7cf2812fe20d69128528d52f5b,7214,1515,2017-12-01T01:39:58+00:00,open,olist,False,"{""seller_ids"": [""cc419e0650a3c5ba77189a1882b7556a""], ""order_status"": ""delivered"", ""customer_state"": ""PR"", ""item_prices"": [5699]}"
1e569d6eaaa4dee08f4b054b65f97134,1623bb8272e54fa0a9eb93aa4895adbd,9834,944,2017-12-01T01:40:55+00:00,open,olist,False,"{""seller_ids"": [""f41ce2e25237f9092cd8e6e7516c7a2f""], ""order_status"": ""delivered"", ""customer_state"": ""SP"", ""item_prices"": [8890]}"
5fab005ced5596f6f711ea0b99d77100,cb1773ccb80012b3cbe87a1eb8c17428,5259,1269,2017-12-01T01:41:20+00:00,open,olist,False,"{""seller_ids"": [""76d5af76d0271110f9af36c92573f765""], ""order_status"": ""delivered"", ""customer_state"": ""SP"", ""item_prices"": [3990]}"
8f72b04d200c6c098df28f20abe1d4ce,b10199c01d6933cb94c126e0ade1b158,7988,1198,2017-12-01T01:42:19+00:00,open,olist,False,"{""seller_ids"": [""dee656f0f566ed1aa85bd137c943f08f""], ""order_status"": ""delivered"", ""customer_state"": ""SP"", ""item_prices"": [6790]}"
e22f8395265cb423def2d5c028f0f34b,b703d83e085a6a8b339dc548f4878ca8,0,0,2017-12-01T01:42:22+00:00,cancelled,olist,False,"{""seller_ids"": [], ""order_status"": ""canceled"", ""customer_state"": ""RJ"", ""item_prices"": []}"
7b74647ef95b9578401bd8a4f723b301,b703d83e085a6a8b339dc548f4878ca8,14517,3317,2017-12-01T01:42:46+00:00,open,olist,False,"{""seller_ids"": [""001cca7ae9ae17fb1caed9dfb1094831""], ""order_status"": ""delivered"", ""customer_state"": ""RJ"", ""item_prices"": [11200]}"
0bdb173bda4bf7e4109fe707c309252a,a419dd7dfd2ca5800069304fde68e3b9,13295,1805,2017-12-01T01:54:12+00:00,open,olist,False,"{""seller_ids"": [""a3a38f4affed601eb87a97788c949667""], ""order_status"": ""delivered"", ""customer_state"": ""RS"", ""item_prices"": [11490]}"
48c5c0e8b2601862cebafe7fad2142f9,48343014be411017d2b2e94f11a4ed63,3681,811,2017-12-01T03:16:01+00:00,open,olist,False,"{""seller_ids"": [""e5a3438891c0bfdb9394643f95273d8e""], ""order_status"": ""shipped"", ""customer_state"": ""SP"", ""item_prices"": [2870]}"
1af8d93c6e62a97baeb370a572abe758,4c83ee458fa2f463b069ecce3d74fb1e,6517,1517,2017-12-01T03:16:52+00:00,open,olist,False,"{""seller_ids"": [""7299e27ed73d2ad986de7f7c77d919fa""], ""order_status"": ""delivered"", ""customer_state"": ""SP"", ""item_prices"": [5000]}"
e024c4b9445d223aaf705871900bf5e1,00dba3af1366ca8114a40bc83021f5e9,14618,2688,2017-12-01T04:19:27+00:00,open,olist,False,"{""seller_ids"": [""391fc6631aebcf3004804e51b40bcf1e""], ""order_status"": ""delivered"", ""customer_state"": ""SP"", ""item_prices"": [5965, 5965]}"
807cabbf50cda6f87625bd1c61a6977c,3ca67cf83218dedd76e9f900261e3b27,4578,1579,2017-12-01T06:27:58+00:00,open,olist,False,"{""seller_ids"": [""95e03ca3d4146e4011985981aeb959b9""], ""order_status"": ""delivered"", ""customer_state"": ""RS"", ""item_prices"": [2999]}"
b55194d272b7e65501f2d19906f38060,9a1b0b7614967e0ed49dce75c4a285f2,12792,1802,2017-12-01T06:57:04+00:00,open,olist,False,"{""seller_ids"": [""a3a38f4affed601eb87a97788c949667""], ""order_status"": ""delivered"", ""customer_state"": ""RS"", ""item_prices"": [10990]}"
f049e19134a95d09c806851a5ea1872e,2fe074ea3cc24b8fd57d29effc995f8b,3175,1185,2017-12-01T07:15:07+00:00,open,olist,False,"{""seller_ids"": [""4a3ca9315b744ce9f8e9374361493884""], ""order_status"": ""delivered"", ""customer_state"": ""SP"", ""item_prices"": [1990]}"
64d530ee7914438bb094a16e225c7cad,0a1900255aeff59cad6626afe47f1997,15821,1921,2017-12-01T07:45:42+00:00,open,olist,False,"{""seller_ids"": [""adbc26658d6c7b4b6219f9d934598091""], ""order_status"": ""delivered"", ""customer_state"": ""MG"", ""item_prices"": [13900]}"
a396a3ced410ba6d02ebb907e5c34530,77d730851ce35e9b3f2cc1f8b92b03c9,12020,3222,2017-12-01T08:04:37+00:00,open,olist,False,"{""seller_ids"": [""f63d8f293af3a6454377546bd9dd19ff""], ""order_status"": ""delivered"", ""customer_state"": ""MS"", ""item_prices"": [4399, 4399]}"
ea4bb4fa30c5a1548498436f448383af,271df0a7b98c752f9717a693bb33cafd,8523,1524,2017-12-01T08:10:47+00:00,open,olist,False,"{""seller_ids"": [""c9c7905cffc4ef9ff9f113554423e671""], ""order_status"": ""delivered"", ""customer_state"": ""MG"", ""item_prices"": [6999]}"
